id,name,description,category,base_price,basePrice,vat_fee,VAT_fee,totalPrice,in_stock,hasSizes,has_sizes,sizes,created_at,updated_at
11111111-1111-1111-1111-111111111111,Iced Americano,Chilled espresso with crisp water and light sweetener.,Beverages,6.2,6.2,0.74,0.74,6.94,true,false,false,[],2026-03-30T11:47:03.852Z,2026-03-30T11:47:03.852Z
22222222-2222-2222-2222-222222222222,Espresso,Rich espresso shot served hot.,Beverages,5,5,0.6,0.6,5.6,true,false,false,[],2026-03-30T11:47:03.852Z,2026-03-30T11:47:03.852Z
33333333-3333-3333-3333-333333333333,Cheeseburger,"Classic cheeseburger with lettuce, tomato, and cheese.",Main Dishes,12.5,12.5,1.5,1.5,14,true,false,false,[],2026-03-30T11:47:03.852Z,2026-03-30T11:47:03.852Z
44444444-4444-4444-4444-444444444444,French Fries,Crispy golden fries served hot.,Side Dish,7,7,0.84,0.84,7.84,true,false,false,[],2026-03-30T11:47:03.852Z,2026-03-30T11:47:03.852Z
55555555-5555-5555-5555-555555555555,Chocolate Cake,Rich chocolate cake slice with creamy frosting.,Desserts,10.5,10.5,1.26,1.26,11.76,true,false,false,[],2026-03-30T11:47:03.852Z,2026-03-30T11:47:03.852Z
66666666-6666-6666-6666-666666666666,Cappuccino,"Espresso with steamed milk and velvety foam.",Beverages,5.5,5.5,0.55,0.55,6.05,true,false,false,[],2026-03-30T11:47:03.852Z,2026-03-30T11:47:03.852Z
77777777-7777-7777-7777-777777777777,Grilled Chicken Sandwich,"Grilled chicken breast with lettuce, tomato, and a toasted bun.",Main Dishes,14.5,14.5,1.45,1.45,15.95,true,false,false,[],2026-03-30T11:47:03.852Z,2026-03-30T11:47:03.852Z
88888888-8888-8888-8888-888888888888,Mocha Latte,"Espresso with cocoa, steamed milk, and light foam.",Beverages,6.8,6.8,0.68,0.68,7.48,true,false,false,[],2026-03-30T11:47:03.852Z,2026-03-30T11:47:03.852Z
99999999-9999-9999-9999-999999999999,Green Tea,Hot brewed green tea with a clean citrus finish.,Beverages,4.5,4.5,0.45,0.45,4.95,true,false,false,[],2026-03-30T11:47:03.852Z,2026-03-30T11:47:03.852Z
aaaaaaaa-aaaa-aaaa-aaaa-000000000001,BLT Sandwich,"Smoky bacon, crisp lettuce, and fresh tomato on toasted bread.",Main Dishes,13.5,13.5,1.35,1.35,14.85,true,false,false,[],2026-03-30T11:47:03.852Z,2026-03-30T11:47:03.852Z
bbbbbbbb-bbbb-bbbb-bbbb-000000000002,Veggie Wrap,"Grilled vegetables, lettuce and tomato wrapped in a soft tortilla.",Main Dishes,11.5,11.5,1.15,1.15,12.65,true,false,false,[],2026-03-30T11:47:03.852Z,2026-03-30T11:47:03.852Z
cccccccc-cccc-cccc-cccc-000000000003,Caesar Salad,"Crisp greens with crunchy croutons and shaved parmesan.",Main Dishes,9.5,9.5,0.95,0.95,10.45,true,false,false,[],2026-03-30T11:47:03.852Z,2026-03-30T11:47:03.852Z
dddddddd-dddd-dddd-dddd-000000000004,Onion Rings,Crispy beer-battered onion rings served with dipping sauce.,Side Dish,6,6,0.6,0.6,6.6,true,false,false,[],2026-03-30T11:47:03.852Z,2026-03-30T11:47:03.852Z
eeeeeeee-eeee-eeee-eeee-000000000005,Blueberry Muffin,Moist muffin loaded with fresh blueberries.,Desserts,4.5,4.5,0.45,0.45,4.95,true,false,false,[],2026-03-30T11:47:03.852Z,2026-03-30T11:47:03.852Z
ffffffff-ffff-ffff-ffff-000000000006,Fruit Smoothie,"Fresh berries and yogurt blended into a refreshing drink.",Beverages,6.75,6.75,0.68,0.68,7.43,true,false,false,[],2026-03-30T11:47:03.852Z,2026-03-30T11:47:03.852Z
11111111-2222-3333-4444-555566667777,Tomato Soup,Warm tomato soup with fresh herbs and cream.,Side Dish,5.5,5.5,0.55,0.55,6.05,true,false,false,[],2026-03-30T11:47:03.852Z,2026-03-30T11:47:03.852Z
88888888-9999-0000-1111-222233334444,Chocolate Chip Cookie,Chewy cookie filled with chocolate chips.,Desserts,3.5,3.5,0.35,0.35,3.85,true,false,false,[],2026-03-30T11:47:03.852Z,2026-03-30T11:47:03.852Z
99999999-aaaa-bbbb-cccc-000000000007,Calamansi Iced Tea,Tart calamansi juice shaken with ice and a touch of sweetener.,Beverages,4.0,4.0,0.4,0.4,4.4,true,false,false,[],2026-03-30T11:47:03.852Z,2026-03-30T11:47:03.852Z
aaaaaaaa-bbbb-cccc-dddd-000000000008,Ube Pandesal,,Pastries,4.0,4.0,0.4,0.4,4.4,true,false,false,[],2026-03-30T11:47:03.852Z,2026-03-30T11:47:03.852Z
